JS_ID,plant_num,PI_num
JS7,340,PI_533757
JS8,502,PI_533758
JS10,597,PI_533761
JS271,479,PI_533792
JS271,512,PI_533792
JS17,638,PI_533800
JS20,368,PI_533814
JS21,524,PI_533821
JS22,339,PI_533824
JS23,308,PI_533830
JS23,460,PI_533830
JS23,540,PI_533830
JS30,439,PI_533863
JS31,400,PI_533866
JS274,617,PI_533871
JS37,469,PI_533903
JS37,482,PI_533903
JS38,527,PI_533910
JS39,281,PI_533911
JS41,287,PI_533915
JS43,591,PI_533921
JS45,477,PI_533936
JS47,311,PI_533938
JS54,505,PI_533955
JS56,580,PI_533957
JS71,561,PI_533996
JS277,320,PI_533998
JS277,623,PI_533998
JS76,521,PI_534046
JS82,643,PI_534079
JS90,618,PI_534114
JS93,312,PI_534117
JS93,593,PI_534117
JS100,510,PI_534148
JS101,454,PI_534155
JS103,622,PI_534163
JS107,437,PI_561072
JS110,466,PI_564165
JS114,632,PI_576337
JS119,476,PI_576348
JS123,598,PI_576366
JS125,343,PI_576375
JS127,582,PI_576380
JS128,366,PI_576381
JS139,351,PI_576425
JS140,389,PI_576428
JS147,603,PI_595739
JS148,344,PI_595740
JS149,607,PI_595741
JS150,548,PI_595743
JS151,459,PI_595744
JS159,475,PI_597958
JS159,536,PI_597958
JS172,552,PI_613536
JS174,423,PI_629059
JS179,399,PI_655974
JS182,401,PI_655977
JS186,565,PI_655993
JS190,305,PI_656002
JS290,481,PI_656003
JS203,388,PI_656020
JS207,349,PI_656027
JS209,410,PI_656031
JS210,314,PI_656033
JS219,377,PI_656046
JS226,326,PI_656059
JS234,440,PI_656075
JS240,370,PI_656085
JS293,428,PI_656086
JS241,509,PI_656087
JS254,289,PI_656108
JS262,491,PI_656119
JS265,571,PI_659693