Plant Name,Reason
4-9-18_Schnable_49-603-js147-1-214_2018-04-11_12-06-53_10001000,Leaf order is wrong leaves #2 and #3
4-9-18_Schnable_49-603-js147-1-214_2018-04-13_12-07-59_10114000,Leaf order is wrong leaves #2 and #3
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,Plant is too dense and reconstruction is bad
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,Plant is too dense and reconstruction is bad
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,Plant is too dense and reconstruction is bad
4-9-18_Schnable_49-567-js42-69_2018-04-11_10-46-08_9997400,Leaf #2 is missing
4-9-18_Schnable_49-567-js42-69_2018-04-13_10-47-19_10110400,Wrong topology + artifact leaf
4-9-18_Schnable_49-567-js42-69_2018-04-16_10-47-42_10297400,Wrong topology + missing leaf
4-9-18_Schnable_49-410-js209-328_2018-04-11_04-55-04_9981700,Leaf order is wrong leaves #3 and #4
4-9-18_Schnable_49-410-js209-328_2018-04-13_04-55-37_10094700,Missing leaves
4-9-18_Schnable_49-410-js209-328_2018-04-16_04-55-37_10281700,Two plants in the same pot
4-9-18_Schnable_49-591-js43-70_2018-04-11_11-40-03_9999800,Two plants in the same pot
4-9-18_Schnable_49-591-js43-70_2018-04-13_11-40-58_10112800,Two plants in the same pot
4-9-18_Schnable_49-591-js43-70_2018-04-16_11-41-34_10299800,Two plants in the same pot
4-9-18_Schnable_49-536-js159-3-228_2018-04-11_09-36-30_9994300,Wrong connection angle on leaf #3
4-9-18_Schnable_49-536-js159-3-228_2018-04-13_09-37-36_10107300,Wrong topology
4-9-18_Schnable_49-536-js159-3-228_2018-04-16_09-37-46_10294300,Artifact leaf #2